PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
Encaje Computable;1330;2958;87269;283072;38898;53133;26473;359;16430;84202;331;212169;117712;193900;0;2657;6155
Encaje Requerido;1069;2419;1930;271310;28488;52848;20159;287;14712;69941;39;203955;116337;190724;0;253;5930
Posición;261;539;85339;11762;10410;286;6314;72;1718;14261;292;8214;1375;3176;0;2404;224
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1662812;868210;14806973;27490770;31316883;4319197;4571;312416;1160622;6101093;955049;12006602;12713293;11721013;0;1184806;182356
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);20201;82971;107499;30069486;4371701;2407586;526;362;589079;4162313;571;10183838;9462760;10907461;0;0;307532
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;62007;11058;35685;1300103;2322999;81867;325;3487;2565;116704;0;159200;465659;1079002;0;318094;384
Monto Depósitos Monetarios;1551439;318606;1606060;23131935;24139624;2375020;2094621;59036;204559;1728541;0;6827672;4949894;11592310;0;617882;8363
No. de Cuentas Depósitos de Ahorro;37052;53737;399792;1385827;4377273;87199;0;18719;13579;356635;36940;332959;553068;861381;0;0;308
Monto Depósitos de Ahorro;758854;327874;3204294;12763634;20676014;1187594;0;160706;77715;772126;77109;2757112;3731350;11767640;0;0;12410
No. de Cuentas Depósitos a Plazo;2059;1776;23216;17374;60885;2672;0;416;663;4436;2531;4112;9056;12857;0;3348;294
Monto Depósitos a Plazo;1226785;667191;17185859;21036686;21438898;2759332;0;332031;1124403;7023794;1087641;7300773;7719650;9371730;0;465559;196032
No. de Cuentas a la Orden;401;36;5;112741;3980;665;0;962;119;616;24;2587;396521;0;0;51;0
Monto Depósitos a la Orden;6401;211;13;24499;151241;11053;0;52;5;1432;621;9930;44434;0;0;33;0
No. de Cuentas Depósitos con Restricciones;7591;1522;57821;94382;18924;11297;33;1003;1207;44511;398;8075;71458;123357;0;31624;3
Monto Depósitos con Restricciones;11752;2195;23054;273685;89010;20110;7866;858;939;29917;282;33681;57612;128356;0;6559;41
No. de Obligaciones Financieras;126;0;0;0;0;1;0;0;22;0;0;0;114;0;0;0;262
Monto Obligaciones Financieras;1280;0;0;0;0;400;0;0;35050;0;0;0;6306;0;0;0;98213
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;408;437;1087;73533;12470;4107;199;0;765;17130;0;18140;10508;22386;0;1337;147
Monto Depósitos Monetarios;16752;40672;38944;7962741;641114;720385;906874;0;110606;1222742;0;5148825;1996075;6735819;0;13563;6380
No. de Cuentas Depósitos de Ahorro;527;383;1215;57546;24031;4908;0;140;753;18835;130;13252;19221;28140;0;0;45
Monto Depósitos de Ahorro;15640;9997;47160;3811541;247972;688082;0;12783;52686;429095;930;849698;2630775;1450341;0;0;10582
No. de Cuentas Depósitos a Plazo;89;64;22;1076;590;469;2;1;215;1328;6;747;1180;1456;0;0;214
Monto Depósitos a Plazo;24109;79032;9583;2470583;561418;1367279;67699;425;587130;2069275;1039;4830416;1355735;1909277;0;0;302292
No. de Cuentas a la Orden;20;1;0;3945;53;121;0;0;0;195;0;283;9097;0;0;1;0
Monto Depósitos a la Orden;5;3;0;2468;12472;1334;0;0;0;2067;0;2080;5771;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;27;187;3678;66;472;2;0;25;16770;3;687;2019;823;0;117;1
Monto Depósitos con Restricciones;39;36;548;27392;807;3735;84;0;225;6561;1;5567;6576;6265;0;35;0
No. de Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185
Monto Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110736
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;286424;321043;3737026;9613495;8037519;1057914;240059;142471;311546;2418812;260700;2793225;2851687;4959835;0;294646;157033
CAPITAL REQUERIDO;196937;115538;1639423;7495131;4764437;769929;54941;58131;215595;1320837;112042;2312863;2334089;3057088;0;138205;65776
POSICIÓN;89487;205506;2097603;2118363;3273081;287985;185118;84340;95951;1097975;148658;480362;517598;1902747;0;156441;91257
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1
