PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
No. de Cuentas Depósitos a Plazo;86;65;22;1072;594;443;1;1;225;1336;6;743;1115;1375;0;281;11
Monto Depósitos a Plazo;23381;93660;9823;2535332;590695;1239160;1090;428;656518;2243653;1056;4724708;1357829;1933842;0;372341;7954
No. de Cuentas a la Orden;21;1;0;3746;58;118;0;0;0;257;0;296;8623;0;1;0;0
Monto Depósitos a la Orden;6;3;0;2283;7377;1538;0;0;0;2413;0;7180;8016;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;28;187;3785;64;480;2;0;27;16821;3;742;2037;888;119;1;0
Monto Depósitos con Restricciones;40;41;560;33745;823;3521;85;0;228;6951;1;8269;7047;7349;35;0;0
No. de Obligaciones Financieras;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;51
Monto Obligaciones Financieras;30004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36747;30729
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;344216;330993;4027841;11270147;8531774;1148737;240059;146490;341410;2339636;197852;2833230;2935073;5359324;294646;164945;60921
CAPITAL REQUERIDO;208857;121196;1697519;7569216;4811712;795819;49271;58908;228716;1418748;103679;2402532;2422030;3259553;145865;63713;14596
POSICIÓN;135359;209798;2330322;3700932;3720062;352919;190787;87582;112693;920888;94173;430698;513043;2099771;148781;101232;46325
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;25;1;0;0;0;0;0;0;0;0;2
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Adecuación de capital (AC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;2;1;3;0;3;1;447;1;1;1;2;1;1;1
