PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
CAPITAL COMPUTABLE;271936;304475;3411951;8901425;7441697;991833;240059;140335;288711;2031538;233230;2793225;2744831;4921782;0;294646;119174
CAPITAL REQUERIDO;198529;116051;1591877;7344954;4460605;805759;52964;55708;209290;1318271;119821;2349423;2435708;3363647;0;128298;66605
POSICIÓN;73407;188424;1820074;1556470;2981092;186074;187094;84627;79421;713267;113409;443802;309123;1558134;0;166348;52569
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;1;0
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Adecuación de capital (AC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;8;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;1;2;1;3;70;1;1;2;6;1;1;2;0;1;1
